Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Jeene Do,(1990),125,"['Action', ' Drama']",4.6,47.0,Rajesh Seth,Rajesh Sethi,Sanjay Dutt,Jackie Shroff
Jeene Ki Arzoo,(1981),132,['Drama'],5.9,22.0,Rajashekhar,Mithun Chakraborty,Rati Agnihotri,Chandrashekhar
Jeene Ki Raah,(1969),152,"['Drama', ' Romance']",6.9,82.0,L.V. Prasad,Jeetendra,Tanuja,Anjali Kadam
Jeene Nahi Doonga,(1984),133,['Action'],5.9,55.0,Rajkumar Kohli,Dharmendra,Shatrughan Sinha,Raj Babbar
Jeene Nahin Doonga,(2005),135,['Action'],7.3,37.0,Prabhas,Trisha Krishnan,Prakash Raj,Tottempudi Gopichand
Jeeo Aur Jeene Do,(1982),135,"['Action', ' Drama']",4.8,16.0,Shyam Ralhan,Jeetendra,Reena Roy,Nutan
Jeeo Shaan Se,(1997),135,"['Comedy', ' Drama', ' Romance']",5.5,13.0,Talat Jani,Dharmendra,Reena Roy,Vikas Bhalla
Jeet,(1949),135,"['Drama', ' Romance']",7.0,30.0,Mohan Sinha,Suraiya,Dev Anand,Kanhaiyalal Chaturvedi
Jeet,(1972),135,"['Romance', ' Drama', ' Action']",4.7,13.0,Adurthi Subba Rao,Randhir Kapoor,Babita Kapoor,Heena Kausar
Jeet Hamaari,(1983),149,['Action'],4.8,22.0,R. Thyagaraajan,Rakesh Roshan,Rajinikanth,Ranjeeta Kaur
Jeete Hain Shaan Se,(1988),135,"['Action', ' Drama']",4.7,131.0,Kawal Sharma,Mithun Chakraborty,Sanjay Dutt,Govinda
Jeetenge Hum,(2001),135,['Action'],5.6,9.0,Sunil Bohra,Dinyar Contractor,Priya Gill,Gulshan Grover
Jeeva,(1986),123,"['Action', ' Drama', ' Music']",4.1,55.0,Raj N. Sippy,Sanjay Dutt,Mandakini,Amjad Khan
Jeevan Daata,(1991),120,['Action'],3.8,9.0,Swaroop Kumar,Chunky Panday,Aditya Pancholi,Kimi Katkar
Jeevan Dhaara,(1982),137,"['Family', ' Drama']",6.6,70.0,Rama Rao Tatineni,Rekha,Amol Palekar,Raj Babbar
Jeevan Ek Sanghursh,(1990),159,"['Drama', ' Family']",4.9,168.0,Rahul Rawail,Rakhee Gulzar,Anil Kapoor,Madhuri Dixit
Jeevan Jyoti,(1976),136,"['Drama', ' Family']",6.3,11.0,Murugan Kumaran,Vijay Arora,Bindiya Goswami,Rakesh Pandey
Jeevan Ki Shatranj,(1993),135,"['Action', ' Comedy', ' Crime']",4.6,11.0,S.A. Chandrashekhar,Mithun Chakraborty,Avtar Gill,Aruna Irani
Jeevan Mrityu,(1970),140,"['Drama', ' Romance', ' Thriller']",7.1,216.0,Satyen Bose,Dharmendra,Rakhee Gulzar,Ajit
Jeevan Naya,(1936),140,['Drama'],7.3,6.0,Franz Osten,Devika Rani,Ashok Kumar,Kamta Prasad
Jeevan Sangram,(1974),135,"['Action', ' Drama']",6.8,12.0,Rajbans Khanna,Shashi Kapoor,Radha Saluja,Jalal Agha
Jeevan Yudh,(1997),136,"['Action', ' Drama', ' Family']",5.1,32.0,Partho Ghosh,Mithun Chakraborty,Atul Agnihotri,Mamta Kulkarni
Jeewan Jyoti,(1953),135,['Drama'],6.4,22.0,Mahesh Kaul,Shammi Kapoor,Shashikala,Leela Mishra
Jhakaas!,(2018),56,"['Comedy', ' Drama']",6.1,11.0,Anirudh Baboo,Mukund Krishna Kumar Nair,Sangeeth Shobhan,Saraswat Mandarapu
Jhalki,(2019),104,['Drama'],7.2,672.0,Brahmanand S. Singh,Tanvi Jain,Boman Irani,Tannishtha Chatterjee
Jhanak Jhanak Payal Baaje,(1955),143,"['Drama', ' Musical', ' Romance']",6.5,105.0,Shantaram Rajaram Vankudre,Gopi Krishna,Sandhya,Keshavrao Date
Jhanjaar,(1986),135,"['Action', ' Drama', ' Thriller']",3.5,6.0,Shantaram Rajaram Vankudre,Padmini Kolhapure,Siddharth,Ranjana
Jhansi Ki Rani,(1953),97,"['Biography', ' Drama', ' History']",6.9,89.0,Sohrab Modi,Mehtab,Sohrab Modi,Mubarak
Jhansi Ki Rani Laxmibai,(2012),140,['History'],7.1,15.0,Rajesh Mittal,Tom Alter,Sadashiv Amrapurkar,Arav Chowdharry
Jheel Ke Us Paar,(1973),142,"['Drama', ' Romance']",7.2,88.0,Bhappi Sonie,Dharmendra,Mumtaz,Prem Chopra
Jhol,(2019),112,"['Comedy', ' Drama']",8.2,42.0,Shakti,Alisha Farrer,Chetan Hansraj,Manisha Kelkar
Jhoola,(1941),177,['Drama'],6.3,13.0,Gyan Mukherjee,Leela Chitnis,Ashok Kumar,Shah Nawaz
Jhoola,(1962),147,"['Drama', ' Family']",5.9,11.0,K. Shankar,Sunil Dutt,Vyjayanthimala,Pran
Jhoota Kahin Ka,(1979),135,"['Comedy', ' Drama', ' Romance']",6.8,73.0,Ravi Tandon,Rishi Kapoor,Neetu Singh,Indrani Mukherjee
Jhooth Bole Kauwa Kaate,(1998),148,"['Comedy', ' Romance']",5.7,771.0,Hrishikesh Mukherjee,Anil Kapoor,Juhi Chawla,Amrish Puri
Jhootha Kahin Ka,(2019),133,['Comedy'],4.7,330.0,Smeep Kang,Rishi Kapoor,Jimmy Sheirgill,Sunny Singh Nijjar
Jhoothi,(1985),136,['Comedy'],6.6,129.0,Hrishikesh Mukherjee,Rekha,Raj Babbar,Amol Palekar
Jhoothi Shaan,(1991),139,"['Action', ' Drama']",4.6,20.0,Ranjan Bose,Shabana Azmi,Mithun Chakraborty,Poonam Dhillon
Jhumroo,(1961),171,"['Comedy', ' Drama', ' Musical']",7.0,539.0,Shankar Mukherjee,Kishore Kumar,Madhubala,Chanchal
Jhutha Sach,(1984),135,"['Drama', ' Family']",6.1,44.0,Esmayeel Shroff,Dharmendra,Rekha,Amrish Puri
Ji Chahta Hai,(1964),99,"['Drama', ' Family']",5.9,15.0,Bibhuti Mitra,Joy Mukherjee,Rajshree,Jeevan
Jia aur Jia,(2017),93,['Drama'],4.4,167.0,Howard Rosemeyer,Richa Chadha,Kalki Koechlin,Arslan Goni
Jiban Maran,(1938),144,"['Drama', ' Romance']",5.2,6.0,Nitin Bose,K.L. Saigal,Leela Desai,Devbala
Jigariyaa,(2014),142,['Drama'],4.9,301.0,Raj Purohit,Harshvardhan Deo,Cherry Mardia,Deepak Chaddha
Jigarwala,(1991),132,"['Action', ' Drama']",2.5,34.0,Swaroop Kumar,Anil Kapoor,Tina Ambani,Urmila Bhatt
Jigri Dost,(1969),154,['Drama'],6.4,32.0,Ravikant Nagaich,Jeetendra,Mumtaz,K.N. Singh
Jigyaasa,(2006),147,['Drama'],3.4,263.0,Faisal Saif,Nassar Abdulla,Rakesh Bedi,Hrishitaa Bhatt
Jihad,(2017),144,['Drama'],8.6,47.0,Rakesh Parmaar,Farhad Ahmed Dehlvi,Alfeeya Donna,Ahmer Haider
Jimmy,(2008),135,"['Action', ' Crime', ' Drama']",1.6,249.0,Raj N. Sippy,Mimoh Chakraborty,Vikas Anand,Rahul Dev
Jis Desh Men Ganga Behti Hai,(1960),167,"['Drama', ' Musical', ' Romance']",7.4,435.0,Radhu Karmakar,Raj Kapoor,Padmini,Pran
Jism Ka Rishta,(1989),135,['Drama'],2.9,11.0,Mahesh Bhatt,Kingi,Haidar Ali,Mohan Choti
Jiyaala,(1998),135,['Action'],3.2,6.0,Tipu Khan,Siraj Mustafa Khan,Poonam Jhawer,Aparajita
Jiyo To Aise Jiyo,(1981),135,"['Drama', ' Family']",4.3,7.0,Kanak Mishra,Arun Govil,Debashree Roy,Jayshree Gadkar
Jo Bole So Nihaal,(2005),125,"['Action', ' Comedy', ' Thriller']",3.6,646.0,Rahul Rawail,Sunny Deol,Thomas Tevana,Gary Castro Churchwell
Jo Dooba So Paar: It's Love in Bihar!,(2011),90,"['Comedy', ' Crime', ' Drama']",5.7,71.0,Praveen Kumar,Anand Tiwari,Rajat Kapoor,Sita Spada
Jo Hum Chahein,(2011),135,"['Drama', ' Romance']",4.5,100.0,Pawan Gill,Sunny Gill,Simran Kaur Mundi,Alyy Khan
Jodi,(1999),161,['Romance'],6.1,188.0,Praveenkanth,Manager Cheena,Sakthi Chidambaram,Isha Koppikar
Jodi Kya Banayi Wah Wah Ramji,(2003),135,['Comedy'],3.8,47.0,Raman Kumar,Rotem Bar,Rakesh Bedi,Avtar Gill
Jogan,(1950),116,"['Drama', ' Musical', ' Romance']",7.4,80.0,Kidar Nath Sharma,Nargis,Dilip Kumar,Pratima Devi
Joggers' Park,(2003),133,"['Comedy', ' Romance']",6.2,353.0,Anant Balani,Victor Banerjee,Perizaad Zorabian,Divya Dutta
Jogi the King,(2005),172,"['Action', ' Drama']",7.3,266.0,Prem,Shivarajkumar,Neenasam Ashwath,Yana Gupta
Johar in Bombay,(1967),150,"['Comedy', ' Drama', ' Fantasy']",6.4,14.0,Shantilal Soni,I.S. Johar,Sonia Sahni,Rajendranath Malhotra
Johar in Kashmir,(1966),122,"['Action', ' Drama', ' Thriller']",6.8,12.0,I.S. Johar,Mumtaz Begum,Rajan Haksar,I.S. Johar
Johar Mehmood in Hong Kong,(1971),134,['Comedy'],6.8,49.0,S.A. Akbar,I.S. Johar,Mehmood,Sonia Sahni
Johar-Mehmood in Goa,(1965),145,"['Action', ' Adventure', ' Comedy']",6.8,44.0,I.S. Johar,Mehmood,Simi Garewal,I.S. Johar
John Day,(2013),138,"['Action', ' Crime', ' Drama']",5.6,831.0,Ahishor Solomon,Naseeruddin Shah,Randeep Hooda,Elena Kazan
John Jani Janardhan,(1984),135,"['Action', ' Comedy', ' Drama']",6.4,39.0,Rama Rao Tatineni,Rati Agnihotri,J.N. Anand,Bihari
Johnny,(1980),140,"['Action', ' Crime', ' Drama']",7.5,423.0,J. Mahendran,Rajinikanth,K. Balaji,Unni Mary
Johnny-Walker,(1957),151,"['Comedy', ' Romance']",6.0,9.0,Madan,Daljit Ved,Shyama,Johnny Walker
Johny I Love You,(1982),171,"['Action', ' Romance']",4.9,36.0,Rakesh Kumar,Sanjay Dutt,Rati Agnihotri,Suresh Oberoi
Johny Mera Naam,(1970),159,"['Action', ' Drama', ' Musical']",7.3,760.0,Vijay Anand,Dev Anand,Hema Malini,Pran
Johny Ustad,(1984),135,['Action'],5.4,13.0,J. Mahendran,Unni Mary,Rajinikanth,Sridevi
Joroo Ka Ghulam,(1972),135,"['Comedy', ' Family']",6.9,91.0,A. Bhimsingh,Nanda,Rajesh Khanna,Sharad Kumar
Josef - Born in Grace,(2019),100,['Drama'],9.0,12.0,Susant Misra,Victor Banerjee,Subrat Dutta,Sudarshan Juyal
Josh,(1981),135,['Action'],5.6,8.0,Raj N. Sippy,Anil Dhawan,Ashok Gaekwad,Helen
Josh-E-Jawaani,(2001),135,['Romance'],4.2,9.0,Bunty Bedi,Rakesh Bedi,Kishore Anand Bhanushali,Ramesh Goyal
Joshila,(1973),137,"['Drama', ' Thriller']",6.2,104.0,Yash Chopra,Dev Anand,Hema Malini,Pran
Joshilaay,(1989),107,"['Action', ' Drama', ' Western']",5.7,265.0,Sibte Hassan Rizvi,Sunny Deol,Anil Kapoor,Sridevi
Journey Bombay to Goa: Laughter Unlimited,(2007),138,"['Action', ' Adventure', ' Comedy']",4.6,376.0,Raj Pendurkar,Sunil Pal,Vijay Raaz,Raju Srivastava
Juaari,(1994),184,"['Action', ' Drama']",3.1,34.0,Jagdish A. Sharma,Dharmendra,Arman Kohli,Shilpa Shirodkar
Juari,(1968),155,['Romance'],6.6,21.0,Suraj Prakash,Shashi Kapoor,Nanda,Tanuja
Judaai,(1980),149,"['Family', ' Drama']",5.9,70.0,Rama Rao Tatineni,Ashok Kumar,Jeetendra,Rekha
Judge Mujrim,(1997),137,"['Action', ' Drama']",3.9,66.0,Jagdish A. Sharma,Jeetendra,Sunil Shetty,Sujata Mehta
Jugaad,(2009),135,"['Comedy', ' Drama']",5.3,73.0,Kumar Anand,Manoj Bajpayee,Hrishitaa Bhatt,Vijay Raaz
Jugni,(2016),115,['Drama'],6.2,137.0,Shefali Bhushan,Anurita Jha,Sadhana Singh,Sugandha Garg
Jugnu,(1973),149,"['Action', ' Drama', ' Thriller']",6.5,182.0,Pramod Chakravorty,Dharmendra,Hema Malini,Pran
Jugnu,(1947),135,"['Drama', ' Musical', ' Romance']",7.5,81.0,Shaukat Hussain Rizvi,Dilip Kumar,Noor Jehan,Shashikala
Julie,(1975),145,"['Family', ' Musical', ' Romance']",6.1,261.0,K.S. Sethumadhavan,Lakshmi,Vikram Makandar,Nadira
Julie,(2004),144,"['Drama', ' Romance']",4.0,404.0,Deepak S. Shivdasani,Neha Dhupia,Priyanshu Chatterjee,Yash Tonk
Julie 2,(2017),159,"['Drama', ' Romance', ' Thriller']",2.3,311.0,Deepak S. Shivdasani,Nishikant Kamat,Raai Laxmi,Rati Agnihotri
Jumbish: A Movement - The Movie,(1986),135,['Romance'],3.9,11.0,Salahuddin Parvez,Padmini Kolhapure,Akbar Khan,Shafi Inamdar
Junction Varanasi,(2019),149,['Drama'],3.7,22.0,Dheeraj Pandit,Dev Sharma,Anjali Abrol,Dheeraj Pandit
June,(2021),93,['Drama'],9.4,18.0,Suhrud Godbole,Vaibhav Khisti,Nilesh Divekar,Jitendra Joshi
Jung,(1996),146,"['Action', ' Crime', ' Drama']",4.0,233.0,Rama Rao Tatineni,Mithun Chakraborty,Ajay Devgn,Rambha
Jung,(2000),147,"['Action', ' Crime', ' Drama']",4.2,364.0,Sanjay Gupta,Sanjay Dutt,Jackie Shroff,Aditya Pancholi
Jung Baaz,(1989),143,"['Action', ' Crime']",5.6,75.0,Mehul Kumar,Govinda,Danny Denzongpa,Prem Chopra
Jungle Beauty,(1991),135,"['Action', ' Adventure']",3.7,11.0,Dilip Gulati,Joshina,Rajeev Kumar,Puneet Issar
Jungle Hero,(2002),135,"['Action', ' Comedy']",4.9,7.0,K.I. Sheikh,Amit Pachori,Kirti Shetty,Sapna Sappu
Jungle Ki Beti,(1988),135,['Adventure'],3.3,11.0,R. Thakur,Salma Agha,Arjun,Brando Bakshi
Jungle Ki Sherni,(2001),135,"['Action', ' Adventure', ' Drama']",5.5,12.0,Kanti Shah,Sapna Sappu,Amit Pachori,Vinod Tripathi
Jungle Love Story,(1998),133,['Romance'],6.2,6.0,Dilip Gulati,Raza Murad,Amrit Pal,Raju Srivastava
Junglee,(1961),139,"['Comedy', ' Drama', ' Musical']",7.3,467.0,Subodh Mukherji,Shammi Kapoor,Saira Banu,Shashikala
Junko,(2017),78,['Crime'],3.1,8.0,Abhinav Thakur,Neelam Deysarkar,Aayush Thakur,Aarav Mavi
Junoon,(1979),141,['Drama'],7.6,503.0,Shyam Benegal,Shashi Kapoor,Nafisa Ali,Shabana Azmi
Junoon,(1992),123,"['Drama', ' Horror', ' Musical']",5.6,531.0,Mahesh Bhatt,Rahul Roy,Pooja Bhatt,Avinash Wadhawan
Junoon,(2002),135,['Drama'],4.2,12.0,Sanjay Khanna,Chandrachur Singh,Shilpa Shetty Kundra,Sonali Kulkarni
Junooniyat,(2016),155,"['Drama', ' Romance']",4.2,708.0,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,Gulshan Devaiah
Jurm,(1990),103,"['Action', ' Crime', ' Romance']",5.6,129.0,Mahesh Bhatt,Vinod Khanna,Meenakshi Sheshadri,Sangeeta Bijlani
Jurm,(2005),150,"['Crime', ' Drama', ' Mystery']",5.4,482.0,Vikram Bhatt,Kamal Adib,Bobby Deol,Lara Dutta
Jurmana,(1979),139,"['Drama', ' Romance']",6.8,176.0,Hrishikesh Mukherjee,Rakhee Gulzar,Amitabh Bachchan,Shreeram Lagoo
Jurmana,(1996),134,['Action'],5.4,31.0,T.L.V. Prasad,Mithun Chakraborty,Rambha,Ashwini Bhave
Jurrat,(1989),146,"['Action', ' Crime']",4.6,23.0,David Dhawan,Shatrughan Sinha,Kumar Gaurav,Amala Akkineni
Just Like That,(2019),109,['Drama'],7.9,30.0,Kislay,Trimala Adhikari,Harish Khanna,Mohini Sharma
Just Married: Marriage Was Only the Beginning!,(2007),135,"['Comedy', ' Drama', ' Romance']",5.3,495.0,Meghna Gulzar,Fardeen Khan,Esha Deol,Neelima Azim
Justice,(1973),135,"['Crime', ' Drama']",6.0,8.0,Adurthi Subba Rao,Waheeda Rehman,Vijay Arora,Tanuja
Justice Chaudhury,(1983),156,"['Drama', ' Action', ' Comedy']",5.6,75.0,K. Raghavendra Rao,Jeetendra,Hema Malini,Sridevi
Justice Chowdhary,(2000),135,['Action'],4.3,21.0,Manish Khandewal,Arun Bakshi,Mithun Chakraborty,Pinky Chinoy
Jwaala Daaku,(1981),135,['Action'],5.3,9.0,R.P. Swamy,Mahendra Sandhu,Asha Sachdev,Farida Jalal
Jwala,(1971),135,"['Action', ' Crime']",5.2,33.0,M.V. Raman,Sunil Dutt,Madhubala,Sohrab Modi
Jwalamukhi,(1980),162,"['Action', ' Romance', ' Drama']",5.8,28.0,Prakash Mehra,Waheeda Rehman,Shatrughan Sinha,Reena Roy
Jwalamukhi,(2000),135,"['Action', ' Drama']",4.2,29.0,Jagdish A. Sharma,Vijay Sharma,Abdul Rehman Sheikh,Arjun
Jwar Bhata,(1944),120,"['Drama', ' Romance']",7.6,34.0,Amiya Chakrabarty,Ruma Guha Thakurta,Aga Jaan,Vikram Kapoor
Jwar Bhata,(1973),135,"['Drama', ' Family']",6.7,58.0,Adurthi Subba Rao,Saira Banu,Dharmendra,Sujit Kumar
Jwlwi - The Seed,(2019),90,['Drama'],8.0,24.0,Rajni Basumatary,Raj Agnihotri,Mondeep Basumatary,Rajni Basumatary
Jyoti,(1969),135,"['Drama', ' Family']",6.2,6.0,Dulal Guha,Sanjeev Kumar,Nivedita,Abhi Bhattacharya
Jyoti,(1981),144,['Drama'],5.9,31.0,Pramod Chakravorty,Ajit,Birbal,Vijayendra Ghatge
Jyoti Bane Jwala,(1980),166,"['Drama', ' Family', ' Action']",5.0,38.0,Narayana Rao Dasari,Jeetendra,Vinod Mehra,Ashok Kumar
Kaaboo,(2002),135,['Action'],6.5,29.0,Vicky Ranawat,Rajat Bedi,Sudesh Berry,Abhay Bhargava
Kaadhal Parisu,(1987),143,"['Drama', ' Romance']",6.1,97.0,A. Jagannathan,Kamal Haasan,Radha,Ambika
Kaafila,(1990),135,"['Drama', ' Thriller']",3.4,18.0,Sudhanshu Hakku,Divyank Sharma,Sadashiv Amrapurkar,Joy Augustine
Kaafila,(2007),135,['Action'],3.3,174.0,Amitoj Mann,Sunny Deol,Sudesh Berry,Sana
Kaafiron Ki Namaaz,(2013),149,"['Drama', ' Thriller']",7.1,274.0,Ram Ramesh Sharma,Alok Chaturvedi,Chandra Shekhar Dutta,Joydip Mukhopadhyay
Kaagaz Ke Fools,(2015),109,['Comedy'],3.9,136.0,Anil Chaudhary,Vinay Pathak,Mugdha Godse,Raima Sen
Kaagaz Ki Kashti,(2017),127,['Documentary'],8.9,203.0,Brahmanand S. Singh,Ghulam Ali,Talat Aziz,Mahesh Bhatt
Kaagaz Ki Nao,(1975),135,['Drama'],6.5,11.0,B.R. Ishara,Sarika,Reena Ghosh,Master Mithu
Kaajal,(1965),168,"['Drama', ' Musical', ' Romance']",6.2,119.0,Ram Maheshwari,Meena Kumari,Dharmendra,Padmini
Kaal Chakra,(1988),135,"['Action', ' Drama']",5.8,13.0,Dilip Shankar,Ishrat Ali,Sadashiv Amrapurkar,Madan Jain
Kaala Aadmi,(1978),135,"['Action', ' Thriller']",6.3,11.0,Ramesh Lakhanpal,Sunil Dutt,Saira Banu,Pran
Kaala Mandir,(2000),135,['Horror'],2.6,5.0,Neelima Azim,Kishore Anand Bhanushali,Birbal,Shakti Kapoor
Kaala Samrajya,(1999),119,"['Action', ' Crime', ' Romance']",4.2,36.0,Deepak Bahry,Sunil Shetty,Monica Bedi,Amrish Puri
Kaala Sona,(1975),137,"['Action', ' Thriller']",6.4,61.0,Ravikant Nagaich,Feroz Khan,Parveen Babi,Prem Chopra
Kaali Ki Saugandh,(2000),90,['Action'],5.0,7.0,Saabir,Anmol,Dharmendra,Johny Fever
Kaali Topi Lal Rumaal,(2000),135,"['Action', ' Crime', ' Drama']",6.2,29.0,Vijay Reddy,Mithun Chakraborty,Zeenat Ibrahim,Kamal Sadanah
Kaalia,(1997),135,['Action'],5.9,42.0,Deepti Bhatnagar,Mithun Chakraborty,Kiran Kumar,Johnny Lever
Kaalo,(2010),79,"['Action', ' Drama', ' Horror']",3.3,260.0,Wilson Louis,Aditya Srivastav,Swini Khara,Aditya Lakhia
Kaam Jwala: The Fire,(2004),73,['Drama'],2.7,9.0,Kanti Shah,Amit Pachori,Sapna Sappu,Junior Jagdeep
Kaam Shastra,(1975),136,['Thriller'],6.4,13.0,Prem Kapoor,Alka,Ramesh Aurora,Urmila Bhatt
Kaamaagni,(1987),134,"['Drama', ' Music']",4.6,7.0,Ashok Kumar,Sushma Ahuja,Tina Ambani,Leena Das
Kaamannana Makkalu,(2008),135,"['Action', ' Comedy', ' Drama']",6.6,75.0,Chi Gurudutt,Sudeep,Rockline Venkatesh,Deepu
Kaamchor,(1982),135,"['Drama', ' Family']",6.6,131.0,K. Viswanath,Rakesh Roshan,Jaya Prada,Tanuja
Kaamyaab,(1984),135,['Action'],5.5,18.0,K. Raghavendra Rao,Jeetendra,Shabana Azmi,Radha
Kaanch Ki Deewar,(1986),135,"['Drama', ' Family']",4.5,8.0,M.N. Yasin,Sanjeev Kumar,Smita Patil,Shakti Kapoor
Kaanchi,(2014),151,"['Drama', ' Musical', ' Romance']",4.2,590.0,Subhash Ghai,Mishti,Kartik Aaryan,Rishi Kapoor
Kaanchli Life in a Slough,(2020),101,['Drama'],7.3,85.0,Dedipya Joshii,Sanjay Mishra,Shikha Malhotra,Nareshpal Singh Chouhan
Kaanoon Ki Awaaz,(1989),127,"['Action', ' Crime']",3.8,10.0,P. Chandrasekhar,R. Kumar,Balwant Dullat,Shatrughan Sinha
Kaaranama,(1990),138,['Drama'],4.8,17.0,Ranjeet,Vinod Khanna,Kimi Katkar,Farha Naaz
Kaash,(1987),140,['Drama'],6.3,197.0,Mahesh Bhatt,Jackie Shroff,Dimple Kapadia,Master Makrand
Kaash,(2015),106,['Drama'],5.0,20.0,Ishaan Nair,Nidhi Sunil,Kavya Trehan,Varun Mitra
Kaash Mere Hote,(2009),135,['Thriller'],5.7,21.0,B.H. Tharun Kumar,Rajesh Khanna,Sneha Ullal,Kumar Saahil
Kaash... Hamara Dil Pagal Na Hota,(2003),149,['Comedy'],3.6,7.0,Mangal Anand,Sunil Singh,Chetan Aneja,Mithun Purandare
Kaashi in Search of Ganga,(2018),125,['Thriller'],5.4,259.0,Dhiraj Kumar,Prince Adhikari,Aishwarya Devan,Kranti Prakash Jha
Kab Tak Chup Rahungi,(1988),135,['Drama'],5.8,9.0,T. Prakash Rao,Amala Akkineni,Vikas Anand,Darshan
Kab? Kyoon? Aur Kahan?,(1970),136,"['Action', ' Mystery', ' Romance']",6.8,117.0,Arjun Hingorani,Dharmendra,Babita Kapoor,Pran
Kabaad- The Coin,(2021),132,['Drama'],6.6,76.0,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj
Kabeela,(1976),135,"['Action', ' Adventure', ' Crime']",6.5,19.0,Bolu Khosla,Feroz Khan,Rekha,Kamini Kaushal
Kabhi Ajnabi Thé,(1985),135,"['Romance', ' Sport']",5.0,14.0,Vijay Singh,Poonam Dhillon,Sandeep Patil,Debashree Roy
Kabhi Na Kabhi,(1998),157,"['Action', ' Drama', ' Romance']",4.3,158.0,Priyadarshan,Jackie Shroff,Anil Kapoor,Pooja Bhatt
Kabhi Paas Kabhi Fail,(1999),95,"['Comedy', ' Family']",6.2,20.0,Virendra Saini,Sajeel Parakh,Saurabh Shukla,Sona
Kabhie Tum Kabhie Hum,(2002),135,"['Comedy', ' Drama', ' Family']",4.4,14.0,Roop Dutta Naik,Mamta Kulkarni,Charuhas Shidore,Anjan Srivastav
Kabli Khan,(1963),123,"['Action', ' Musical']",4.8,9.0,K. Amarnath,Ajit,Helen,Samson
Kabrastan,(1988),135,['Horror'],3.7,27.0,Mohan Bhakri,Hemant Birje,Kamna,Javed Khan
Kabrastan,(2000),109,['Horror'],3.1,16.0,Ramesh U. Lakhiani,Amit Kapoor,Satnam Kaur,Shehzad Khan
Kabuliwala,(1961),95,['Drama'],7.8,317.0,Hemen Gupta,Balraj Sahni,Baby Sonu,Usha Kiran
Kabzaa,(1988),143,"['Action', ' Crime', ' Drama']",5.9,185.0,Mahesh Bhatt,Raj Babbar,Sanjay Dutt,Amrita Singh
Kaccha Limboo,(2011),141,"['Comedy', ' Family']",6.4,88.0,Sagar Ballary,Muntazir Ahmad,Karan Bhanushali,Bhairavi Goswami
Kacha Chor,(1977),135,['Drama'],4.4,7.0,Jambulingam,Randhir Kapoor,Rekha,Som Dutt
Kachche Heere,(1982),135,['Action'],5.3,27.0,Narendra Bedi,Feroz Khan,Reena Roy,Danny Denzongpa
Kachchi Sadak,(2006),145,"['Action', ' Drama']",6.1,34.0,Sanjay D. Singh,Rahul Singh,Parmita Katkar,Tinnu Anand
Kadal Meengal,(1981),137,['Drama'],6.6,76.0,G.N. Rangarajan,Kamal Haasan,Sujatha,Ambika
Kadamban,(2017),142,"['Action', ' Adventure', ' Drama']",5.3,417.0,N. Ragavan,Arya,Catherine Tresa,Deepraj Rana
Kadambari,(1976),135,"['Drama', ' Romance']",6.4,7.0,Hk Verma,Shabana Azmi,Vijay Arora,Chand Usmani
Kadhal Desam,(1996),158,"['Comedy', ' Drama', ' Romance']",6.8,458.0,Kathir,Abbas,S.P. Balasubrahmanyam,Chaplin Balu
Kadhal Mannan,(1998),135,"['Drama', ' Romance']",7.1,789.0,Saran,Ajith Kumar,Maanu,M.S. Viswanathan
Kadke Kamal Ke,(2019),136,['Comedy'],6.8,5.0,Laxman Singh,Aaryan Adhikari,Neeta Dhungana,Rajpal Yadav
Kadvi Hawa,(2017),95,['Drama'],8.1,985.0,Nila Madhab Panda,Nilamadhab Panda,Sanjay Mishra,Ranvir Shorey
Kafan,(1990),147,['Horror'],5.8,48.0,Dhirendra Bohra,Javed Khan,Jamuna,Viju Khote
Kagaar: Life on the Edge,(2003),150,"['Crime', ' Drama']",5.7,50.0,N. Chandra,Om Puri,Nandita Das,Amitabh Dayal
Kahaani Gudiya Ki...: True Story of a Woman,(2008),112,"['Biography', ' Drama']",5.8,32.0,Prabhakar Shukla,Divya Dutta,Arif Zakaria,Rajpal Yadav
Kahan Hai Kanoon,(1989),131,['Action'],6.9,7.0,Deepak Balraj Vij,Sadashiv Amrapurkar,Anand Balraj,Sudhir Dalvi
Kahan Ho Tum,(2003),135,"['Drama', ' Family']",3.9,22.0,Vijay Kumar,Ishita Arun,Samir Soni,Sharman Joshi
Kahan Kahan Se Guzar Gaya,(1981),135,['Drama'],5.3,11.0,M.S. Sathyu,Masood Akhtar,Ajoy Bannerjee,Enakshi Bannerjee
Kahani Ek Chor Ki,(1981),138,"['Action', ' Crime']",5.2,9.0,S. Ramanathan,Asrani,Master Bhagwan,Chandrashekhar
Kahani Hum Subb Ki,(1973),135,"['Drama', ' Romance']",3.1,9.0,Rajkumar Kohli,Mala Sinha,Om Prakash,Arun Chopra
Kahani Kismat Ki,(1973),131,"['Action', ' Drama']",6.0,90.0,Arjun Hingorani,Dharmendra,Rekha,Ajit
Kahani Kismat Ki,(1999),135,['Action'],4.9,8.0,Farogh Siddique,Laxmikant Berde,Mithun Chakraborty,Shama Deshpande
Kahin Aur Chal,(1968),135,['Drama'],6.9,14.0,Vijay Anand,Dev Anand,Asha Parekh,Shubha Khote
